table_schema,table_name,column_name,data_type
public,admins,id,uuid
public,admins,user_id,uuid
public,admins,permissions,ARRAY
public,admins,created_at,timestamp with time zone
public,admins_recovery,id,uuid
public,admins_recovery,user_id,uuid
public,admins_recovery,permissions,ARRAY
public,admins_recovery,created_at,timestamp with time zone
public,admins_recovery,recovery_imported_at,timestamp with time zone
public,audit_log,id,uuid
public,audit_log,event_type,character varying
public,audit_log,table_name,character varying
public,audit_log,record_id,uuid
public,audit_log,old_data,jsonb
public,audit_log,new_data,jsonb
public,audit_log,user_id,uuid
public,audit_log,created_at,timestamp with time zone
public,audit_log_recovery,id,uuid
public,audit_log_recovery,event_type,character varying
public,audit_log_recovery,table_name,character varying
public,audit_log_recovery,record_id,uuid
public,audit_log_recovery,old_data,jsonb
public,audit_log_recovery,new_data,jsonb
public,audit_log_recovery,user_id,uuid
public,audit_log_recovery,created_at,timestamp with time zone
public,audit_log_recovery,recovery_imported_at,timestamp with time zone
public,clients,id,uuid
public,clients,user_id,uuid
public,clients,company_name,character varying
public,clients,contact_name,character varying
public,clients,phone,character varying
public,clients,address,text
public,clients,created_at,timestamp with time zone
public,clients,updated_at,timestamp with time zone
public,clients_recovery,id,uuid
public,clients_recovery,user_id,uuid
public,clients_recovery,company_name,character varying
public,clients_recovery,contact_name,character varying
public,clients_recovery,phone,character varying
public,clients_recovery,address,text
public,clients_recovery,created_at,timestamp with time zone
public,clients_recovery,updated_at,timestamp with time zone
public,clients_recovery,recovery_imported_at,timestamp with time zone
public,conversation_participants,id,uuid
public,conversation_participants,conversation_id,uuid
public,conversation_participants,user_id,uuid
public,conversation_participants,joined_at,timestamp with time zone
public,conversation_participants_recovery,id,uuid
public,conversation_participants_recovery,conversation_id,uuid
public,conversation_participants_recovery,user_id,uuid
public,conversation_participants_recovery,joined_at,timestamp with time zone
public,conversation_participants_recovery,recovery_imported_at,timestamp with time zone
public,conversations,id,uuid
public,conversations,title,character varying
public,conversations,created_at,timestamp with time zone
public,conversations,updated_at,timestamp with time zone
public,conversations_recovery,id,uuid
public,conversations_recovery,title,character varying
public,conversations_recovery,created_at,timestamp with time zone
public,conversations_recovery,updated_at,timestamp with time zone
public,conversations_recovery,recovery_imported_at,timestamp with time zone
public,deliverables,id,uuid
public,deliverables,project_id,uuid
public,deliverables,name,character varying
public,deliverables,type,character varying
public,deliverables,url,text
public,deliverables,description,text
public,deliverables,uploaded_at,timestamp with time zone
public,deliverables,uploaded_by,uuid
public,disputes,id,uuid
public,disputes,project_id,uuid
public,disputes,client_id,uuid
public,disputes,freelancer_id,uuid
public,disputes,reason,text
public,disputes,status,character varying
public,disputes,resolution,text
public,disputes,created_at,timestamp with time zone
public,disputes,updated_at,timestamp with time zone
public,disputes_recovery,id,uuid
public,disputes_recovery,project_id,uuid
public,disputes_recovery,client_id,uuid
public,disputes_recovery,freelancer_id,uuid
public,disputes_recovery,reason,text
public,disputes_recovery,status,character varying
public,disputes_recovery,resolution,text
public,disputes_recovery,created_at,timestamp with time zone
public,disputes_recovery,updated_at,timestamp with time zone
public,disputes_recovery,recovery_imported_at,timestamp with time zone
public,escrows,id,uuid
public,escrows,project_id,uuid
public,escrows,client_id,uuid
public,escrows,freelancer_id,uuid
public,escrows,amount,integer
public,escrows,status,character varying
public,escrows,created_at,timestamp with time zone
public,escrows,updated_at,timestamp with time zone
public,escrows_recovery,id,uuid
public,escrows_recovery,project_id,uuid
public,escrows_recovery,client_id,uuid
public,escrows_recovery,freelancer_id,uuid
public,escrows_recovery,amount,integer
public,escrows_recovery,status,character varying
public,escrows_recovery,created_at,timestamp with time zone
public,escrows_recovery,updated_at,timestamp with time zone
public,escrows_recovery,recovery_imported_at,timestamp with time zone
public,events,id,uuid
public,events,event_type,character varying
public,events,entity_type,character varying
public,events,entity_id,uuid
public,events,user_id,uuid
public,events,title,character varying
public,events,description,text
public,events,metadata,jsonb
public,events,priority,character varying
public,events,status,character varying
public,events,assigned_to,uuid
public,events,is_pinned,boolean
public,events,created_at,timestamp with time zone
public,events,updated_at,timestamp with time zone
public,freelancer_services,id,uuid
public,freelancer_services,freelancer_id,uuid
public,freelancer_services,title,character varying
public,freelancer_services,description,text
public,freelancer_services,price,integer
public,freelancer_services,category,character varying
public,freelancer_services,delivery_time,character varying
public,freelancer_services,is_active,boolean
public,freelancer_services,created_at,timestamp with time zone
public,freelancer_services,updated_at,timestamp with time zone
public,freelancer_services_recovery,id,uuid
public,freelancer_services_recovery,freelancer_id,uuid
public,freelancer_services_recovery,title,character varying
public,freelancer_services_recovery,description,text
public,freelancer_services_recovery,price,integer
public,freelancer_services_recovery,category,character varying
public,freelancer_services_recovery,delivery_time,character varying
public,freelancer_services_recovery,is_active,boolean
public,freelancer_services_recovery,created_at,timestamp with time zone
public,freelancer_services_recovery,updated_at,timestamp with time zone
public,freelancer_services_recovery,recovery_imported_at,timestamp with time zone
public,freelancers,id,uuid
public,freelancers,user_id,uuid
public,freelancers,display_name,character varying
public,freelancers,title,character varying
public,freelancers,bio,text
public,freelancers,description,text
public,freelancers,country,character varying
public,freelancers,skills,ARRAY
public,freelancers,avatar_url,character varying
public,freelancers,rating,numeric
public,freelancers,total_reviews,integer
public,freelancers,completed_projects,integer
public,freelancers,response_time,character varying
public,freelancers,availability,character varying
public,freelancers,status,character varying
public,freelancers,created_at,timestamp with time zone
public,freelancers,updated_at,timestamp with time zone
public,freelancers_public,id,uuid
public,freelancers_public,display_name,character varying
public,freelancers_public,title,character varying
public,freelancers_public,bio,text
public,freelancers_public,description,text
public,freelancers_public,country,character varying
public,freelancers_public,skills,ARRAY
public,freelancers_public,avatar_url,character varying
public,freelancers_public,rating,numeric
public,freelancers_public,total_reviews,integer
public,freelancers_public,completed_projects,integer
public,freelancers_public,response_time,character varying
public,freelancers_public,availability,character varying
public,freelancers_public,status,character varying
public,freelancers_public,created_at,timestamp with time zone
public,freelancers_recovery,id,uuid
public,freelancers_recovery,user_id,uuid
public,freelancers_recovery,display_name,character varying
public,freelancers_recovery,title,character varying
public,freelancers_recovery,bio,text
public,freelancers_recovery,description,text
public,freelancers_recovery,country,character varying
public,freelancers_recovery,skills,ARRAY
public,freelancers_recovery,avatar_url,character varying
public,freelancers_recovery,rating,numeric
public,freelancers_recovery,total_reviews,integer
public,freelancers_recovery,completed_projects,integer
public,freelancers_recovery,response_time,character varying
public,freelancers_recovery,availability,character varying
public,freelancers_recovery,status,character varying
public,freelancers_recovery,created_at,timestamp with time zone
public,freelancers_recovery,updated_at,timestamp with time zone
public,freelancers_recovery,recovery_imported_at,timestamp with time zone
public,kyc_verifications,id,uuid
public,kyc_verifications,user_id,uuid
public,kyc_verifications,verification_type,character varying
public,kyc_verifications,document_type,character varying
public,kyc_verifications,document_url,character varying
public,kyc_verifications,status,character varying
public,kyc_verifications,verified_at,timestamp with time zone
public,kyc_verifications,created_at,timestamp with time zone
public,kyc_verifications_recovery,id,uuid
public,kyc_verifications_recovery,user_id,uuid
public,kyc_verifications_recovery,verification_type,character varying
public,kyc_verifications_recovery,document_type,character varying
public,kyc_verifications_recovery,document_url,character varying
public,kyc_verifications_recovery,status,character varying
public,kyc_verifications_recovery,verified_at,timestamp with time zone
public,kyc_verifications_recovery,created_at,timestamp with time zone
public,kyc_verifications_recovery,recovery_imported_at,timestamp with time zone
public,message_attachments,id,uuid
public,message_attachments,message_id,uuid
public,message_attachments,conversation_id,uuid
public,message_attachments,file_name,character varying
public,message_attachments,file_url,character varying
public,message_attachments,file_size,integer
public,message_attachments,file_type,character varying
public,message_attachments,created_at,timestamp with time zone
public,message_attachments_recovery,id,uuid
public,message_attachments_recovery,message_id,uuid
public,message_attachments_recovery,conversation_id,uuid
public,message_attachments_recovery,file_name,character varying
public,message_attachments_recovery,file_url,character varying
public,message_attachments_recovery,file_size,integer
public,message_attachments_recovery,file_type,character varying
public,message_attachments_recovery,created_at,timestamp with time zone
public,message_attachments_recovery,recovery_imported_at,timestamp with time zone
public,message_flags,id,uuid
public,message_flags,message_id,uuid
public,message_flags,reporter_id,uuid
public,message_flags,reason,character varying
public,message_flags,status,character varying
public,message_flags,created_at,timestamp with time zone
public,message_flags_recovery,id,uuid
public,message_flags_recovery,message_id,uuid
public,message_flags_recovery,reporter_id,uuid
public,message_flags_recovery,reason,character varying
public,message_flags_recovery,status,character varying
public,message_flags_recovery,created_at,timestamp with time zone
public,message_flags_recovery,recovery_imported_at,timestamp with time zone
public,messages,id,uuid
public,messages,conversation_id,uuid
public,messages,sender_id,uuid
public,messages,content,text
public,messages,message_type,character varying
public,messages,sent_at,timestamp with time zone
public,messages,is_moderated,boolean
public,messages,moderation_reason,text
public,messages_recovery,id,uuid
public,messages_recovery,conversation_id,uuid
public,messages_recovery,sender_id,uuid
public,messages_recovery,content,text
public,messages_recovery,message_type,character varying
public,messages_recovery,sent_at,timestamp with time zone
public,messages_recovery,is_moderated,boolean
public,messages_recovery,moderation_reason,text
public,messages_recovery,recovery_imported_at,timestamp with time zone
public,moderation_events,id,uuid
public,moderation_events,event_type,character varying
public,moderation_events,target_id,uuid
public,moderation_events,target_type,character varying
public,moderation_events,moderator_id,uuid
public,moderation_events,action,character varying
public,moderation_events,reason,text
public,moderation_events,status,character varying
public,moderation_events,created_at,timestamp with time zone
public,moderation_events_recovery,id,uuid
public,moderation_events_recovery,event_type,character varying
public,moderation_events_recovery,target_id,uuid
public,moderation_events_recovery,target_type,character varying
public,moderation_events_recovery,moderator_id,uuid
public,moderation_events_recovery,action,character varying
public,moderation_events_recovery,reason,text
public,moderation_events_recovery,status,character varying
public,moderation_events_recovery,created_at,timestamp with time zone
public,moderation_events_recovery,recovery_imported_at,timestamp with time zone
public,moderation_rules,id,uuid
public,moderation_rules,rule_name,character varying
public,moderation_rules,rule_pattern,text
public,moderation_rules,severity,character varying
public,moderation_rules,is_active,boolean
public,moderation_rules,created_at,timestamp with time zone
public,moderation_rules_recovery,id,uuid
public,moderation_rules_recovery,rule_name,character varying
public,moderation_rules_recovery,rule_pattern,text
public,moderation_rules_recovery,severity,character varying
public,moderation_rules_recovery,is_active,boolean
public,moderation_rules_recovery,created_at,timestamp with time zone
public,moderation_rules_recovery,recovery_imported_at,timestamp with time zone
public,order_items,id,uuid
public,order_items,order_id,uuid
public,order_items,product_id,integer
public,order_items,quantity,integer
public,order_items,price,integer
public,order_items,created_at,timestamp with time zone
public,order_items_recovery,id,uuid
public,order_items_recovery,order_id,uuid
public,order_items_recovery,product_id,integer
public,order_items_recovery,quantity,integer
public,order_items_recovery,price,integer
public,order_items_recovery,created_at,timestamp with time zone
public,order_items_recovery,recovery_imported_at,timestamp with time zone
public,orders,id,uuid
public,orders,client_id,uuid
public,orders,total_amount,integer
public,orders,status,character varying
public,orders,shipping_address,text
public,orders,notes,text
public,orders,created_at,timestamp with time zone
public,orders,updated_at,timestamp with time zone
public,orders_recovery,id,uuid
public,orders_recovery,client_id,uuid
public,orders_recovery,total_amount,integer
public,orders_recovery,status,character varying
public,orders_recovery,shipping_address,text
public,orders_recovery,notes,text
public,orders_recovery,created_at,timestamp with time zone
public,orders_recovery,updated_at,timestamp with time zone
public,orders_recovery,recovery_imported_at,timestamp with time zone
public,payments,id,uuid
public,payments,user_id,uuid
public,payments,project_id,uuid
public,payments,amount,integer
public,payments,currency,character varying
public,payments,payment_method,character varying
public,payments,status,character varying
public,payments,transaction_id,character varying
public,payments,created_at,timestamp with time zone
public,payments_recovery,id,uuid
public,payments_recovery,user_id,uuid
public,payments_recovery,project_id,uuid
public,payments_recovery,amount,integer
public,payments_recovery,currency,character varying
public,payments_recovery,payment_method,character varying
public,payments_recovery,status,character varying
public,payments_recovery,transaction_id,character varying
public,payments_recovery,created_at,timestamp with time zone
public,payments_recovery,recovery_imported_at,timestamp with time zone
public,payouts,id,uuid
public,payouts,user_id,uuid
public,payouts,amount,integer
public,payouts,currency,character varying
public,payouts,status,character varying
public,payouts,payout_method,character varying
public,payouts,created_at,timestamp with time zone
public,payouts_recovery,id,uuid
public,payouts_recovery,user_id,uuid
public,payouts_recovery,amount,integer
public,payouts_recovery,currency,character varying
public,payouts_recovery,status,character varying
public,payouts_recovery,payout_method,character varying
public,payouts_recovery,created_at,timestamp with time zone
public,payouts_recovery,recovery_imported_at,timestamp with time zone
public,portfolio_items,id,uuid
public,portfolio_items,freelancer_id,uuid
public,portfolio_items,title,character varying
public,portfolio_items,summary,text
public,portfolio_items,description,text
public,portfolio_items,thumbnail_url,character varying
public,portfolio_items,gallery_urls,ARRAY
public,portfolio_items,tags,ARRAY
public,portfolio_items,is_public,boolean
public,portfolio_items,created_at,timestamp with time zone
public,portfolio_items,updated_at,timestamp with time zone
public,portfolio_items_recovery,id,uuid
public,portfolio_items_recovery,freelancer_id,uuid
public,portfolio_items_recovery,title,character varying
public,portfolio_items_recovery,summary,text
public,portfolio_items_recovery,description,text
public,portfolio_items_recovery,thumbnail_url,character varying
public,portfolio_items_recovery,gallery_urls,ARRAY
public,portfolio_items_recovery,tags,ARRAY
public,portfolio_items_recovery,is_public,boolean
public,portfolio_items_recovery,created_at,timestamp with time zone
public,portfolio_items_recovery,updated_at,timestamp with time zone
public,portfolio_items_recovery,recovery_imported_at,timestamp with time zone
public,portfolio_public,id,uuid
public,portfolio_public,freelancer_id,uuid
public,portfolio_public,title,character varying
public,portfolio_public,summary,text
public,portfolio_public,thumbnail_url,character varying
public,portfolio_public,gallery_urls,ARRAY
public,portfolio_public,tags,ARRAY
public,portfolio_public,created_at,timestamp with time zone
public,products,id,integer
public,products,name,character varying
public,products,description,text
public,products,price,integer
public,products,category,character varying
public,products,image_url,character varying
public,products,stock,integer
public,products,is_active,boolean
public,products,created_at,timestamp with time zone
public,products,updated_at,timestamp with time zone
public,products_recovery,id,integer
public,products_recovery,name,character varying
public,products_recovery,description,text
public,products_recovery,price,integer
public,products_recovery,category,character varying
public,products_recovery,image_url,character varying
public,products_recovery,stock,integer
public,products_recovery,is_active,boolean
public,products_recovery,created_at,timestamp with time zone
public,products_recovery,updated_at,timestamp with time zone
public,products_recovery,recovery_imported_at,timestamp with time zone
public,projects,id,uuid
public,projects,client_id,uuid
public,projects,freelancer_id,uuid
public,projects,title,character varying
public,projects,description,text
public,projects,budget,integer
public,projects,status,character varying
public,projects,deadline,date
public,projects,created_at,timestamp with time zone
public,projects,updated_at,timestamp with time zone
public,projects_recovery,id,uuid
public,projects_recovery,client_id,uuid
public,projects_recovery,freelancer_id,uuid
public,projects_recovery,title,character varying
public,projects_recovery,description,text
public,projects_recovery,budget,integer
public,projects_recovery,status,character varying
public,projects_recovery,deadline,date
public,projects_recovery,created_at,timestamp with time zone
public,projects_recovery,updated_at,timestamp with time zone
public,projects_recovery,recovery_imported_at,timestamp with time zone
public,quote_requests,id,uuid
public,quote_requests,client_id,uuid
public,quote_requests,client_name,character varying
public,quote_requests,client_email,character varying
public,quote_requests,client_phone,character varying
public,quote_requests,project_title,character varying
public,quote_requests,project_description,text
public,quote_requests,budget,integer
public,quote_requests,timeline,character varying
public,quote_requests,category,character varying
public,quote_requests,notes,text
public,quote_requests,status,character varying
public,quote_requests,priority,character varying
public,quote_requests,created_at,timestamp with time zone
public,quote_requests,updated_at,timestamp with time zone
public,quote_requests_recovery,id,uuid
public,quote_requests_recovery,client_id,uuid
public,quote_requests_recovery,client_name,character varying
public,quote_requests_recovery,client_email,character varying
public,quote_requests_recovery,client_phone,character varying
public,quote_requests_recovery,project_title,character varying
public,quote_requests_recovery,project_description,text
public,quote_requests_recovery,budget,integer
public,quote_requests_recovery,timeline,character varying
public,quote_requests_recovery,category,character varying
public,quote_requests_recovery,notes,text
public,quote_requests_recovery,status,character varying
public,quote_requests_recovery,priority,character varying
public,quote_requests_recovery,created_at,timestamp with time zone
public,quote_requests_recovery,updated_at,timestamp with time zone
public,quote_requests_recovery,recovery_imported_at,timestamp with time zone
public,recent_recovery_operation,table_name,text
public,recent_recovery_operation,last_sync,timestamp with time zone
public,recent_recovery_operation,sync_delay,interval
public,recent_recovery_operations,table_name,text
public,recent_recovery_operations,last_sync,timestamp with time zone
public,recent_recovery_operations,sync_delay,interval
public,recovery_overview,table_name,text
public,recovery_overview,main_count,bigint
public,recovery_overview,recovery_count,bigint
public,recovery_overview,sync_status,text
public,reviews,id,uuid
public,reviews,freelancer_id,uuid
public,reviews,client_id,uuid
public,reviews,project_id,uuid
public,reviews,rating,integer
public,reviews,review_text,text
public,reviews,is_public,boolean
public,reviews,created_at,timestamp with time zone
public,reviews_recovery,id,uuid
public,reviews_recovery,freelancer_id,uuid
public,reviews_recovery,client_id,uuid
public,reviews_recovery,project_id,uuid
public,reviews_recovery,rating,integer
public,reviews_recovery,review_text,text
public,reviews_recovery,is_public,boolean
public,reviews_recovery,created_at,timestamp with time zone
public,reviews_recovery,recovery_imported_at,timestamp with time zone
public,suppliers,id,uuid
public,suppliers,user_id,uuid
public,suppliers,company_name,character varying
public,suppliers,contact_name,character varying
public,suppliers,email,character varying
public,suppliers,phone,character varying
public,suppliers,address,text
public,suppliers,business_type,character varying
public,suppliers,products,ARRAY
public,suppliers,status,character varying
public,suppliers,created_at,timestamp with time zone
public,suppliers,updated_at,timestamp with time zone
public,suppliers_recovery,id,uuid
public,suppliers_recovery,user_id,uuid
public,suppliers_recovery,company_name,character varying
public,suppliers_recovery,contact_name,character varying
public,suppliers_recovery,email,character varying
public,suppliers_recovery,phone,character varying
public,suppliers_recovery,address,text
public,suppliers_recovery,business_type,character varying
public,suppliers_recovery,products,ARRAY
public,suppliers_recovery,status,character varying
public,suppliers_recovery,created_at,timestamp with time zone
public,suppliers_recovery,updated_at,timestamp with time zone
public,suppliers_recovery,recovery_imported_at,timestamp with time zone
public,team_assignments,id,uuid
public,team_assignments,team_id,uuid
public,team_assignments,user_id,uuid
public,team_assignments,role,character varying
public,team_assignments,joined_at,timestamp with time zone
public,team_assignments_recovery,id,uuid
public,team_assignments_recovery,team_id,uuid
public,team_assignments_recovery,user_id,uuid
public,team_assignments_recovery,role,character varying
public,team_assignments_recovery,joined_at,timestamp with time zone
public,team_assignments_recovery,recovery_imported_at,timestamp with time zone
public,teams,id,uuid
